Puesto Institucional,Grado jerarquico o escala al que pertenece el puesto,Remuneracion mensual unificada,Remuneracion unificada (anual),Decimo Tercera Remuneracion,Decima Cuarta Remuneracion,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
ANALISTA DE GESTION DE ABASTECIMIENTO,3,1755,21060,146.25,31.25,0,0,177.5
SUPERINTENDENTE DE MANTENIMIENTO,6,5250,63000,437.5,31.25,0,0,468.75
SUPERVISOR RCRS,5,3300,39600,275,31.25,0,0,306.25
MENSAJERO,1,962,11544,80.17,31.25,0,0,111.42
AUXILIAR DE CAFETERIA,1,779,9348,64.92,31.25,0,0,96.17
AUXILIAR DE CAFETERIA,1,784,9408,65.33,31.25,0,0,96.58
MENSAJERO,1,784,9408,65.33,31.25,0,0,96.58
JEFE DE CONTROL DE QUIMICOS,6,6146,73752,512.17,31.25,0,0,543.42
ASISTENTE ADMINISTRATIVA,2,1100,13200,91.67,31.25,0,0,122.92
ASISTENTE DE ARCHIVO,2,1131,13572,94.25,31.25,0,0,125.5
ASISTENTE DE ARCHIVO,2,1284,15408,107,31.25,0,0,138.25
JEFE DE CAMPO,7,6100,73200,508.33,31.25,0,0,539.58
RESERVORISTA,5,4213.65,50563.8,351.14,31.25,0,0,382.39
TÉCNICO ELÉCTRICO (PLANTA DE GENERACIÓN),3,2257,27084,188.08,31.25,0,0,219.33
INGENIERO DE CORROSIÓN Y QUÍMICOS,5,3217,38604,268.08,31.25,0,0,299.33
SUPERVISOR DE INSTRUMENTACIÓN,5,4097,49164,357.78,31.25,196.31,0,585.34
SUPERINTENDENTE DE RCRS ( E ),6,3849,46188,320.75,31.25,0,512,864
BODEGUERO,2,1418,17016,124.08,31.25,70.9,0,226.23
SUPERINTENDENTE DE OPERACIONES  ( S ),6,3360,40320,280,31.25,0,1607,1918.25
SUPERINTENDENTE DE SEGURIDAD,5,4361,52332,363.42,31.25,0,0,394.67
SUPERVISOR DE PRODUCCIÓN ( E ),5,2568,30816,249.67,31.25,428,0,708.92
INGENIERO DE GESTIÓN DE ACTIVOS ( E ),5,2500,30000,208.33,31.25,0,453,692.58
SUPERVISOR MECÁNICO,5,4125,49500,353.78,31.25,120.31,0,505.34
JEFE DE CAMPO,7,6100,73200,508.33,31.25,0,0,539.58
SUPERVISOR DE PRODUCCIÓN ( E ),5,2586,31032,215.5,31.25,0,367,613.75
